Well_ID,AL_Key,Fail in 30 days
327,ESP_1,0.0
125,ESP_2,0.0
260,ESP_3,0.0
21,ESP_1,1.0
16,ESP_1,0.0
20,ESP_1,1.0
76,ESP_1,1.0
60,ESP_1,0.0
13,ESP_1,0.0
10,ESP_2,0.0
27,ESP_1,1.0
105,ESP_2,0.0
53,ESP_2,0.0
84,ESP_1,0.0
12,ESP_1,0.0
113,ESP_2,0.0
62,ESP_1,0.0
25,ESP_1,0.0
74,ESP_3,0.0
7,ESP_2,0.0
91,ESP_1,0.0
17,ESP_1,1.0
132,ESP_5,1.0
116,ESP_1,0.0
90,ESP_1,0.0
61,ESP_1,1.0
101,ESP_1,0.0
6,ESP_1,0.0
93,ESP_1,0.0
248,ESP_2,0.0
123,ESP_2,0.0
32,ESP_1,0.0
269,ESP_1,1.0
129,ESP_1,0.0
139,ESP_1,1.0
254,ESP_1,1.0
253,ESP_1,1.0
95,ESP_1,0.0
258,ESP_1,0.0
44,ESP_1,0.0
